strut_id,defect,x0,y0,z0,x1,y1,z1,deep_interior
640,bent,754.4,201.0,34.4,761.3,244.8,71.4,0
644,bent,678.0,215.1,22.2,725.2,205.8,70.6,0
652,bent,761.3,244.8,71.4,732.0,254.0,25.0,0
659,bent,736.1,284.7,64.3,732.0,254.0,25.0,0
673,bent,66.6,327.2,68.0,103.0,329.0,28.0,0
721,bent,220.1,328.7,68.5,259.5,335.0,20.0,0
727,bent,258.3,290.0,68.5,259.5,335.0,20.0,0
761,bent,373.0,355.8,21.0,375.5,328.8,69.2,0
792,bent,453.9,327.3,69.9,492.2,327.3,109.4,0
846,bent,686.8,324.2,70.1,648.2,325.0,109.5,1
860,bent,757.7,277.2,32.3,762.1,321.6,69.7,0
864,disconnected,687.0,286.0,30.0,736.1,284.7,64.3,0
933,bent,221.9,448.9,24.2,220.1,407.3,68.9,0
944,disconnected,309.7,408.1,61.8,260.0,407.0,29.0,0
946,missing,309.7,408.1,61.8,258.7,407.2,109.4,0
957,disconnected,299.0,445.0,29.0,309.7,408.1,61.8,0
995,bent,415.6,367.4,70.1,422.7,401.9,20.6,0
1084,bent,693.6,366.2,20.2,727.4,361.8,70.2,0
1105,bent,68.0,524.5,31.5,67.6,484.7,68.9,0
1113,bent,67.6,484.7,68.9,105.0,486.0,24.0,0
1116,bent,142.8,485.6,68.6,105.0,486.0,24.0,0
1147,bent,182.0,525.4,69.1,185.2,483.2,22.2,0
1152,bent,221.9,448.9,24.2,220.4,486.1,69.2,0
1156,bent,221.9,448.9,24.2,259.5,446.8,69.3,0
1164,bent,298.3,485.9,69.6,270.2,487.3,20.8,0
1167,bent,259.5,446.8,69.3,270.2,487.3,20.8,0
1171,bent,259.6,525.2,69.5,270.2,487.3,20.8,0
1184,bent,298.3,485.9,69.6,338.1,486.1,108.9,0
1207,bent,454.3,445.8,109.3,414.9,445.6,70.0,1
1219,bent,415.8,524.5,69.9,411.0,487.0,20.0,0
1225,bent,454.5,518.5,22.5,454.8,484.9,69.9,0
1273,bent,611.6,517.4,21.6,610.6,482.6,70.9,0
1279,bent,688.0,442.1,110.2,649.2,443.1,70.3,1
1281,bent,610.6,482.6,70.9,649.0,474.8,20.8,0
1284,bent,687.5,481.0,71.5,649.0,474.8,20.8,0
1287,bent,649.2,443.1,70.3,649.0,474.8,20.8,0
1301,bent,758.1,520.8,25.9,763.5,480.2,71.5,0
1305,bent,756.5,439.6,25.6,727.2,441.4,70.8,0
1310,missing,687.5,481.0,71.5,735.3,521.2,75.0,1
1352,bent,144.8,524.2,22.2,182.0,525.4,69.1,0
1360,bent,220.8,564.3,69.8,184.0,562.4,22.1,0
1376,bent,224.0,522.0,27.0,259.6,525.2,69.5,0
1381,bent,220.8,564.3,69.8,262.6,561.2,20.2,0
1408,bent,377.4,563.9,69.4,338.5,560.5,25.0,0
1420,bent,375.5,514.8,19.2,377.4,563.9,69.4,0
1424,bent,375.5,514.8,19.2,415.8,524.5,69.9,0
1444,bent,454.5,518.5,22.5,455.1,563.2,70.2,0
1448,bent,454.5,518.5,22.5,494.5,523.9,70.6,0
1453,bent,455.1,563.2,70.2,493.5,561.0,19.7,0
1459,bent,494.5,523.9,70.6,493.5,561.0,19.7,0
